ID,Text,Label
102,"""Tujifunze kuheshimiana katika jamii.""",Non-Hate
103,"""Usijaribu kunidhalilisha!""",Hate Speech
104,"""Nina furaha kuwa na familia yangu.""",Non-Hate
105,"""Wewe ni mzito wa kufikiri!""",Hate Speech
106,"""Tunapaswa kusaidiana katika shida.""",Non-Hate
107,"""Hujui jinsi ya kuwasiliana na watu!""",Hate Speech
108,"""Ningependa kujifunza lugha mpya.""",Non-Hate
109,"""Kila mtu ana haki ya kusema.""",Non-Hate
110,"""Umejaa chuki na hasira!""",Hate Speech
111,"""Ninapenda sana muziki wa taarab.""",Non-Hate
112,"""Wewe ni miongoni mwa wapumbavu!""",Hate Speech
113,"""Tunaweza kufanya mambo makubwa pamoja.""",Non-Hate
114,"""Usijaribu kunipotosha!""",Hate Speech
115,"""Kila mtu anastahili nafasi sawa.""",Non-Hate
116,"""Unajifanya unajua kila kitu!""",Hate Speech
117,"""Nina furaha kuwa na marafiki wazuri.""",Non-Hate
118,"""Hujui chochote kuhusu utamaduni wetu!""",Hate Speech
119,“Sisi sote tunahitaji kusaidiana.”,"""Non-Hate"""
120,"""Umejaa chuki, acha hiyo tabia!""","""Hate Speech"""
121,"""Ningependa kujifunza kuhusu sayansi.""","""Non-Hate"""
122,"""Wewe ni kipande cha takataka!""","""Hate Speech"""
123,"""Tujifunze kutoka kwa makosa yetu.""","""Non-Hate"""
124,"""Usijaribu kunitukana!""","""Non-Hate"""
125,"""Kila mtu anahitaji upendo na msaada.""","""Non-Hate"""
126,"""Hujui jinsi ya kuandika vizuri!""","""Hate Speech"""
127,"""Tunaweza kufanya mambo makubwa pamoja.""","""Non-Hate"""
128,"""Unanichosha na maneno yako ya kijinga!""","""Hate Speech"""
129,"""Sisi ni taifa moja, lazima tushirikiane.""","""Non-Hate"""
130,"""Wewe ni mjinga, huwezi kufikiri!""",Hate Speech
131,"""Ninapenda kusoma vitabu vya hadithi.""",Non-Hate
132,"""Usijaribu kunidhihaki, najua unachofanya!""",Hate Speech
133,"""Tunaweza kufanya mambo makubwa pamoja.""",Non-Hate
134,"""Unanichanganya na maneno yako yasiyo na maana!""",Hate Speech
135,"""Ningependa kujifunza kuhusu sayansi.""",Non-Hate
136,"""Kila mtu anahitaji heshima.""",Non-Hate
137,"""Wewe ni kipande cha aibu kwa jamii!""",Hate Speech
138,"""Tujifunze kuheshimiana katika jamii.""",Non-Hate
139,"""Usijaribu kunidhalilisha!""",Hate Speech
140,"""Nina furaha kuwa na familia yangu.""",Non-Hate
141,"""Wewe ni mvivu wa kufikiri!""",Hate Speech
142,"""Tunapaswa kusaidiana katika shida.""",Non-Hate
143,"""Hujui jinsi ya kuwasiliana na watu!""",Hate Speech
144,"""Ningependa kujifunza lugha mpya.""",Non-Hate
145,"""Kila mtu ana haki ya kusema.""",Non-Hate
146,"""Umejaa chuki na hasira!""",Hate Speech
147,"""Ninapenda sana muziki wa bongo flava.""",Non-Hate
148,"""Wewe ni miongoni mwa wapumbavu!""",Hate Speech
149,"""Tunaweza kufanya mambo makubwa pamoja.""",Non-Hate
150,"""Usijaribu kunipotosha!""",Hate Speech
151,"""Kila mtu anastahili nafasi sawa.""",Non-Hate
152,"""Unajifanya unajua kila kitu!""",Hate Speech
153,"""Nina furaha kuwa na marafiki wazuri.""",Non-Hate
154,"""Hujui chochote kuhusu utamaduni wetu!""",Hate Speech
155,“Sisi sote tunahitaji kusaidiana.”,"""Non-Hate"""
156,"""Umejaa chuki, acha hiyo tabia!""","""Hate Speech"""
157,"""Ningependa kujifunza kuhusu mazingira.""","""Non-Hate"""
158,"""Wewe ni kipande cha takataka!""","""Hate Speech"""
159,"""Tujifunze kutoka kwa makosa yetu.""","""Non-Hate"""
160,"""Usijaribu kunitukana!""","""Non-Hate"""
161,"""Kila mtu anahitaji upendo na msaada.""","""Non-Hate"""
162,"""Hujui jinsi ya kuandika vizuri!""","""Hate Speech"""
163,"""Tunaweza kufanya mambo makubwa pamoja.""","""Non-Hate"""
164,"""Unanichosha na maneno yako ya kijinga!""","""Hate Speech"""
165,"""Sisi ni taifa moja, lazima tushirikiane.""","""Non-Hate"""
